TransCode	TransDate	Detail
SLIP	16/08/2023 	Stip / Transfer
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1310		308 - JAO SAIHAT BR.	 13.75 	 0 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 41.76 	 0 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 5.18 	 0 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 6.04 	 0 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 0 	 10 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 0 	 17.58 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 0 	 20 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 11.52 	 0 	Stip / Transfer	
1310		308 - JAO SAIHAT BR.	 49.68 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 6.76 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 5.85 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 5.13 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 998.01 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 29.43 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 5.26 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 12.57 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 220 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 889.32 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 0 	 5.39 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 20.26 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 0 	 6.85 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 6.06 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 789.59 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 6.08 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 6.09 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 6.39 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 11.48 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 5.93 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 24.81 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 6.33 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 0 	 20.88 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 9.16 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 5.03 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 5.32 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 686.87 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 20.88 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 20.88 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 17.97 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 6.04 	 0 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 0 	 5.38 	Stip / Transfer	
1310		306 - JAO SAFWA BR.	 6.15 	 0 	Stip / Transfer	
1310		302 - JAO QATIF MAIN BR.	 0 	 199.64 	Stip / Transfer	
1310		302 - JAO QATIF MAIN BR.	 5.39 	 0 	Stip / Transfer	
1310		302 - JAO QATIF MAIN BR.	 0 	 2 	Stip / Transfer	
1310		302 - JAO QATIF MAIN BR.	 0 	 83 	Stip / Transfer	
1310		302 - JAO QATIF MAIN BR.	 6.85 	 0 	Stip / Transfer	
1310		302 - JAO QATIF MAIN BR.	 0 	 203 	Stip / Transfer	
1310		302 - JAO QATIF MAIN BR.	 72.01 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 17.48 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 79.47 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 70.83 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 42.31 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 69.64 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 1452.37 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 210 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 979.17 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 5.99 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 20 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 12.58 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 11.87 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 174.69 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 179.64 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 12.01 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 12.16 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 6.55 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 26.17 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 14.39 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 33.49 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 41.76 	 0 	Stip / Transfer	
